STATION_CO,WATERBODY,LATD,LONGD,NAME,PUGAP_CODE,HUC8_Name,site_id,reach_name,event_date,link,dlink,c_order,dorder,w_forest_total,w_agriculture,wt_forest_total,wt_agriculture,Pair,Type
OHA-05,LAKE BRANCH EAST,38.6341,-89.5721,Lake Branch,kasky3297,Lower,OHA-05_20020815,OHA-05,8/15/2002,4,5,2,2,0,0.856110777,0.004067427,0.803757128,B,high_ag
OHA-04,LAKE BRANCH EAST,38.61214,-89.58518,Lake Branch,kasky3386,Lower,OHA-04_19910725,OHA-04,7/25/1991,5,6,2,2,0.002488388,0.75331785,0.003485622,0.802222084,,
OHA-06,LAKE BRANCH EAST,38.65529,-89.56513,Lake Branch,kasky3212,Lower,OHA-06_19910726,OHA-06,7/26/1991,2,3,2,2,0.018578352,0.734248788,0.004201681,0.745421245,,
OHA-03,LAKE BRANCH EAST,38.60372,-89.59373,Lake Branch,kasky3472,Lower,OHA-03_19910725,OHA-03,7/25/1991,6,7,2,2,2.70E-04,0.643813387,0.003369721,0.763110636,,
OHAB-02,AVISTON CREEK,38.605,-89.6017222,Lake Branch,kasky3472,Lower,OHA-03_19910725,OHA-03,7/25/1991,6,7,2,2,2.70E-04,0.643813387,0.003369721,0.763110636,,
OCB-99,PRAIRIE DULONG CREEK,38.38701,-90.09112,Prairie du Long Creek,kasky4504,Lower,OCB-99_20070710,OCB-99,7/10/2007,7,8,2,2,0.267114658,0.551028979,0.186994599,0.628726618,,
OHA-01,LAKE BRANCH EAST,38.55409,-89.62626,Lake Branch,kasky3671,Lower,OHA-01_20020815,OHA-01,8/15/2002,7,62,2,4,0.123938879,0.538825842,0.024818731,0.72215479,,
OHA-02,LAKE BRANCH EAST,38.58305,-89.6064,Lake Branch,kasky3671,Lower,OHA-01_20020815,OHA-01,8/15/2002,7,62,2,4,0.123938879,0.538825842,0.024818731,0.72215479,,
OHA-07,LAKE BRANCH EAST,38.5427778,-89.6211111,Lake Branch,kasky3671,Lower,OHA-01_20020815,OHA-01,8/15/2002,7,62,2,4,0.123938879,0.538825842,0.024818731,0.72215479,,
OJB-04,LOST CREEK,38.5869444,-89.2536111,NA,kasky3468,Middle,OJB-04_20020815,OJB-04,8/15/2002,8,9,2,2,0.061341372,0.627731726,0.035259866,0.749206692,F,high_ag
