STATION_CO,WATERBODY,LATD,LONGD,NAME,PUGAP_CODE,HUC8_Name,site_id,reach_name,event_date,link,dlink,c_order,dorder,w_forest_total,w_agriculture,wt_forest_total,wt_agriculture
OCB-99,PRAIRIE DULONG CREEK,38.38701,-90.09112,Prairie du Long Creek,kasky4504,Lower,OCB-99_20070710,OCB-99,2007-07-10,7,8,2,2,0.267114657706846,0.551028979420412,0.186994598883159,0.628726618046444
OHA-01,LAKE BRANCH EAST,38.55409,-89.62626,Lake Branch,kasky3671,Lower,OHA-01_20020815,OHA-01,2002-08-15,7,62,2,4,0.123938879456706,0.538825842194621,0.0248187306353211,0.722154789663653
OHA-02,LAKE BRANCH EAST,38.58305,-89.6064,Lake Branch,kasky3671,Lower,OHA-01_20020815,OHA-01,2002-08-15,7,62,2,4,0.123938879456706,0.538825842194621,0.0248187306353211,0.722154789663653
OHA-07,LAKE BRANCH EAST,38.5427778,-89.6211111,Lake Branch,kasky3671,Lower,OHA-01_20020815,OHA-01,2002-08-15,7,62,2,4,0.123938879456706,0.538825842194621,0.0248187306353211,0.722154789663653
OHA-06,LAKE BRANCH EAST,38.65529,-89.56513,Lake Branch,kasky3212,Lower,OHA-06_19910726,OHA-06,1991-07-26,2,3,2,2,0.018578352180937,0.734248788368336,0.0042016806722689,0.745421245421246
OHA-04,LAKE BRANCH EAST,38.61214,-89.58518,Lake Branch,kasky3386,Lower,OHA-04_19910725,OHA-04,1991-07-25,5,6,2,2,0.00248838752488388,0.753317850033179,0.00348562181003361,0.802222083903897
OHA-03,LAKE BRANCH EAST,38.60372,-89.59373,Lake Branch,kasky3472,Lower,OHA-03_19910725,OHA-03,1991-07-25,6,7,2,2,2.70453008789723e-4,0.643813387423935,0.00336972093867915,0.763110635807825
OHAB-02,AVISTON CREEK,38.605,-89.6017222,Lake Branch,kasky3472,Lower,OHA-03_19910725,OHA-03,1991-07-25,6,7,2,2,2.70453008789723e-4,0.643813387423935,0.00336972093867915,0.763110635807825
OHA-05,LAKE BRANCH EAST,38.6341,-89.5721,Lake Branch,kasky3297,Lower,OHA-05_20020815,OHA-05,2002-08-15,4,5,2,2,0,0.856110776640578,0.00406742703790674,0.803757128480376
OJB-04,LOST CREEK,38.5869444,-89.2536111,NA,kasky3468,Middle,OJB-04_20020815,OJB-04,2002-08-15,8,9,2,2,0.0613413715146948,0.627731725697061,0.0352598662928618,0.749206691518532
OJB-03,LOST CREEK,38.6302778,-89.14,NA,kasky3289,Middle,OJB-03_20020815,OJB-03,2002-08-15,2,3,2,2,0.0294090360886909,0.611466740885054,0.0169144777700654,0.738611040075987
OIC-02,LOCUST FORK,38.75368,-89.52894,Locust Fork,kasky2896,Shoal,OIC-02_20070530,OIC-02,2007-05-30,4,6,2,3,0.13758079409049,0.525854108956602,0.0428866245324391,0.75896427189475
OZZU-01,COON CREEK-NORTH,39.5497722,-88.5416944,Coon Creek,kasky549,Upper,OZZU-01_20020710,OZZU-01,2002-07-10,2,3,2,2,0.192978087649403,0.477838645418326,0.0440627669619172,0.81417202463918
OZYA-01,COPPER SLOUGH,40.0842417,-88.3328056,Copper Slough,kasky14,Upper,OZYA-02_20070709,OZYA-02,2007-07-09,2,8,2,3,0.017171260732038,0.721644826028016,0.0287578486358457,0.352490335843407
OZZW-01,DRY FORK,39.7690444,-88.4076028,Dry Fork,kasky156,Upper,OZZW-01_20020917,OZZW-01,2002-09-17,2,3,2,2,2.34197522190215e-5,0.942036113257921,1.58775523165349e-5,0.947159505890571
OA-01,NINEMILE CREEK,38.04624,-89.89245,Ninemile Creek,kasky5714,Lower,OA-01_20070723,OA-01,2007-07-23,20,29,3,3,0.32258064516129,0.393578534820621,0.223156869113349,0.439152322182526
ODLA-01,SUGAR FORK,38.78977,-89.74644,Sugar Fork,kasky2773,Lower,ODLA-01_20070725,ODLA-01,2007-07-25,6,7,3,3,0.177271537051584,0.523959151610369,0.0735398585415573,0.752293294622726
