station_co,waterbody,latd,longd,name,pugap_code,huc8_name,link,dlink,c_order,dorder,w_forest_total,w_agriculture,wt_forest_total,wt_agriculture,pair,landuse_category
OZZW-01,DRY FORK,39.7690444,-88.4076028,Dry Fork,kasky156,Upper,2,3,2,2,2.34e-5,0.942036113,1.59e-5,0.947159506,A,high_ag
OZZU-01,COON CREEK-NORTH,39.5497722,-88.5416944,Coon Creek,kasky549,Upper,2,3,2,2,0.192978088,0.477838645,0.044062767,0.814172025,A,high_forest
OHA-05,LAKE BRANCH EAST,38.6341,-89.5721,Lake Branch,kasky3297,Lower,4,5,2,2,0,0.856110777,0.004067427,0.803757128,B,high_ag
OCB-99,PRAIRIE DULONG CREEK,38.38701,-90.09112,Prairie du Long Creek,kasky4504,Lower,7,8,2,2,0.267114658,0.551028979,0.186994599,0.628726618,B,high_forest
OIB-01,BEAVER CREEK,38.79895,-89.4263,Beaver Creek,kasky2732,Shoal,15,20,3,3,0.212160082,0.429451001,0.063237493,0.679380856,C,high_ag
OID-04,E FK SHOAL CREEK,39.07389,-89.36,East Fork Shoal Creek,kasky1789,Shoal,34,36,3,3,0.306407942,0.366877256,0.081559603,0.694583536,C,high_forest
OZZX-01,TWOMILE SLOUGH,39.91538,-88.33058,Twomile Slough,kasky52,Upper,5,6,3,3,0.002416002,0.942465446,0.003005155,0.883839201,D,high_ag
OQC-01,OPOSSUM CREEK,39.29527,-89.02528,Little Creek,kasky1043,Upper,13,14,3,3,0.370406504,0.255609756,0.149711545,0.582989535,D,high_forest
OW-03,LAKE FORK,39.87601,-88.51858,Lake Fork,kasky76,Upper,17,18,3,3,0.011476895,0.916641498,6.97e-4,0.940195208,E,high_ag
OZZJ-01,JORDAN CREEK,39.33079,-88.79004,Jordan Creek,kasky911,Upper,8,9,3,3,0.185840708,0.307767945,0.062695306,0.687428045,E,high_forest
OJB-04,LOST CREEK,38.5869444,-89.2536111,Lost Creek,kasky3468,Middle,8,9,2,2,0.061341372,0.627731726,0.035259866,0.749206692,F,high_ag
OPC-01,WOLF CREEK,39.12972,-88.8557,Wolf Creek,kasky1614,Middle,21,34,3,4,0.461393035,0.1639801,0.11583792,0.632396769,F,high_forest
OCC-98,W FK RICHLAND CR S,38.35327,-89.98104,West Fork Richland Creek,kasky4672,Lower,15,16,3,3,0.057162534,0.827134986,0.180561928,0.654273839,G,high_ag
OA-01,NINEMILE CREEK,38.04624,-89.89245,Ninemile Creek,kasky5714,Lower,20,29,3,3,0.322580645,0.393578535,0.223156869,0.439152322,G,high_forest
